uid	name	regulation	correct.pred	incorrect.pred	score	total.reachable	significant.reachable	total.ambiguous	significant.ambiguous	unknow	quaternary.pval	ternary.pval	enrichment.pval	quaternary.qval	ternary.qval	enrichment.qval
2065	PLCB3	up	2	1	1	57	3	0	0	7751	0.404081688592886	0.404081688592886	0.0335587554477836	0.986331319174279	0.99911197554549	0.498972357714276
2065	PLCB3	down	1	2	-1	57	3	0	0	7751	0.89650468654799	0.89650468654799	0.0335587554477836	0.993792508924464	0.999599545279814	0.498972357714276
2066	CAPN1	up	0	0	0	19	0	0	0	7789	0.970223317656333	0.970223317656333	1	0.994261454303813	0.999629961009208	0.928721313574718
2066	CAPN1	down	0	0	0	19	0	0	0	7789	0.823751665900192	0.823751665900192	1	0.993247970520763	0.999564192885639	0.928721313574718
2067	TM7SF2	up	0	0	0	10	0	0	0	7798	0.982661173378084	0.982661173378084	0.999999999996135	0.994333677334917	0.999634642999451	0.928721313574462
2067	TM7SF2	down	0	0	0	10	0	0	0	7798	0.901410094839176	0.901410094839176	0.999999999996135	0.993826081080816	0.999601723657385	0.928721313574462
2068	TBX6	up	0	0	0	7	0	1	0	7801	0.989246944329075	0.989112285060652	1	0.994371187738614	0.999637025037702	0.928721313574718
2068	TBX6	down	0	0	0	7	0	1	0	7801	0.939907462657735	0.939170987277604	1	0.994077458976573	0.99961773088215	0.928721313574718
2069	PPP4C	up	0	1	-1	209	3	101	2	7599	0.472888811836493	0.756968831775466	0.483616019158361	0.988296888619217	0.999525762463418	0.863037067414699
2069	PPP4C	down	1	0	1	209	3	101	2	7599	0.364341363129067	0.570163454188996	0.483616019158361	0.984862983474943	0.999370483564886	0.863037067414699
2070	MMP10	up	0	0	0	8	0	4	0	7800	0.992932767920086	0.992571319363035	1	0.994391965036795	0.999638289519839	0.928721313574718
2070	MMP10	down	0	0	0	8	0	4	0	7800	0.960834126031361	0.958857202461864	1	0.994205702634271	0.999625576278099	0.928721313574718
2071	DUSP6	up	0	0	0	38	0	10	0	7770	0.808864515367913	0.786557378441433	1	0.99312455384471	0.999543594087122	0.928721313574718
2071	DUSP6	down	0	0	0	38	0	10	0	7770	0.941107395721308	0.933590050534546	1	0.994084965682748	0.999615446582579	0.928721313574718
2072	NA	up	0	0	0	18	0	5	0	7790	0.935618565828513	0.931605770304926	1	0.994050471437668	0.999614627815988	0.928721313574718
2072	NA	down	0	0	0	18	0	5	0	7790	0.928075286187147	0.923611212419058	1	0.994002404440835	0.999611293423082	0.928721313574718
2074	CTF1	up	0	0	0	57	0	3	0	7751	0.944114572744768	0.942080024010876	1	0.994103695056229	0.99961891083618	0.928721313574718
2074	CTF1	down	0	0	0	57	0	3	0	7751	0.607857746460277	0.59663394675989	1	0.99087173095278	0.999398396132244	0.928721313574718
2078	NA	up	2	1	1	44	3	6	0	7764	0.358676312304794	0.312340330378429	0.0170400590937666	0.984627579714633	0.998851442433599	0.4169429127424
2078	NA	down	1	2	-1	44	3	6	0	7764	0.947087713721418	0.943466207804897	0.0170400590937666	0.994122096206117	0.999619470536782	0.4169429127424
2079	CD226	up	0	0	0	6	0	1	0	7802	0.990936532237207	0.990822929035505	1	0.99438073116696	0.999637651482574	0.928721313574718
